Tipo;Descripcion;Habitaciones;Baños;Área;Barrio;UPZ;Zona;Valor
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;70;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 360.000.000
Casa;Casa en venta en Castilla;4;3;170;Castilla;KENNEDY: Castilla + Bavaria;KENNEDY;$ 670.000.000
Apartamento;Apartamento en venta en Chico Reservado;3;3;144;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 1.120.000.000
Apartamento;Apartamento en venta en USAQUEN;3;2;154;USAQUEN;USAQUEN;USAQUEN;$ 890.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;3;128;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 970.000.000
Apartamento;Apartamento en venta en Bella Suiza;1;2;62;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 510.000.000
Apartamento;Apartamento en venta en Bella Suiza;1;2;62;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 500.000.000
Apartamento;Apartamento en venta en Bella Suiza;3;4;212;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 2.350.000.000
Apartamento;Apartamento en venta en El Chico;3;2;159;El Chico;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 850.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;2;80;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 642.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;2;80;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 652.000.000
Casa;Casa en venta en Tintala;3;2;59;Tintala;Tintala;Tintala;$ 168.000.000
Apartamento;Apartamento en venta en Tintala;2;1;45;Tintala;Tintala;Tintala;$ 205.000.000
Casa;Casa en venta en Marly;3;3;147;Marly;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 300.000.000
Apartamento;Apartamento en venta en Kennedy;4;3;98;Kennedy;Kennedy Central;Kennedy Central;$ 680.000.000
Casa;Casa en venta en Zona Noroccidental;3;4;300;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 2.519.000.000
Apartamento;Apartamento en venta en Nicolas De Federman;3;2;87;Nicolas De Federman;Teusaquillo;Teusaquillo;$ 420.000.000
Apartamento;Apartamento en venta en La Calleja;2;2;82;La Calleja;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 620.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;45;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 239.000.000
Casa;Casa en venta en Zona Noroccidental;3;6;380;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.600.000.000
Apartamento;Apartamento en venta en USAQUEN;1;2;50;USAQUEN;USAQUEN;USAQUEN;$ 420.000.000
Apartamento;Apartamento en venta en Nicolas De Federman;3;2;89;Nicolas De Federman;Teusaquillo;Teusaquillo;$ 625.000.000
Casa;Casa en venta en Zona Noroccidental;3;5;365;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 2.799.000.000
Casa;Casa en venta en Zona Noroccidental;5;5;450;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.450.000.000
Casa;Casa en venta en Zona Noroccidental;4;5;315;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 2.000.000.000
Apartamento;Apartamento en venta en Mazuren;3;3;102;Mazuren;El Prado;El Prado;$ 670.000.000
Casa;Casa en venta en Zona Noroccidental;4;6;423;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.800.000.000
Apartamento;Apartamento en venta en Suba;3;2;75;Suba;Suba;Suba;$ 469.000.000
Casa;Casa en venta en Zona Noroccidental;5;2;200;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 580.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;67;Barrios Unidos;Los Andes;Los Andes;$ 445.000.000
Apartamento;Apartamento en venta en USAQUEN;3;3;66;USAQUEN;USAQUEN;USAQUEN;$ 261.500.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 278.000.000
Apartamento;Apartamento en venta en Engativa;3;2;60;Engativa;Engativa;Engativa;$ 258.000.000
Apartamento;Apartamento en venta en Fontibon;3;3;87;Fontibon;Fontibon;Fontibon;$ 520.000.000
Casa;Casa en venta en Tintala;3;2;75;Tintala;Tintala;Tintala;$ 200.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;45;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 129.000.000
Apartamento;Apartamento en venta en Villa Alsacia;3;2;75;Villa Alsacia;KENNEDY: Castilla + Bavaria;KENNEDY;$ 350.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;32;2;63;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 290.500.000
Apartamento;Apartamento en venta en Palermo;3;2;130;Palermo;Galerias;Galerias;$ 750.000.000
Apartamento;Apartamento en venta en Chico Reservado;1;1;64;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 495.000.000
Casa;Casa en venta en Zona Noroccidental;3;2;86;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 285.000.000
Apartamento;Apartamento en venta en La Candelaria;4;4;160;La Candelaria;La Candelaria;La Candelaria;$ 900.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;4;4;294;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.800.000.000
Apartamento;Apartamento en venta en El Contador;3;3;206;El Contador;Los Cedros;Los Cedros;$ 990.000.000
Apartamento;Apartamento en venta en El Batan;3;3;103;El Batan;La Alhambra;La Alhambra;$ 418.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;80;USAQUEN;USAQUEN;USAQUEN;$ 349.000.000
Apartamento;Apartamento en venta en Santa Barbara;3;1;101;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 565.000.000
Apartamento;Apartamento en venta en Mirandela ;3;3;87;Mirandela ;SUBA: La Academia + Guaymaral + San José de Bavaria;SUBA;$ 370.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 259.000.000
Apartamento;Apartamento en venta en Castilla;3;2;68;Castilla;KENNEDY: Castilla + Bavaria;KENNEDY;$ 310.000.000
Apartamento;Apartamento en venta en Cedritos;2;2;79;Cedritos;USAQUEN;USAQUEN;$ 354.000.000
Apartamento;Apartamento en venta en Mazuren;3;3;92;Mazuren;El Prado;El Prado;$ 372.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;88;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 500.000.000
Apartamento;Apartamento en venta en Fontibon;3;2;84;Fontibon;Fontibon;Fontibon;$ 420.000.000
Apartamento;Apartamento en venta en El Contador;3;3;177;El Contador;Los Cedros;Los Cedros;$ 1.050.000.000
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;Kennedy Central;Kennedy Central;$ 185.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;80;USAQUEN;USAQUEN;USAQUEN;$ 349.000.000
Apartamento;Apartamento en venta en Colina Campestre;3;3;109;Colina Campestre;Niza;Niza;$ 515.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;75;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 287.000.000
Apartamento;Apartamento en venta en Colina Campestre;2;1;50;Colina Campestre;Niza;Niza;$ 265.000.000
Apartamento;Apartamento en venta en Fontibon;3;2;87;Fontibon;Fontibon;Fontibon;$ 500.000.000
Apartamento;Apartamento en venta en USAQUEN;3;3;66;USAQUEN;USAQUEN;USAQUEN;$ 261.500.000
Apartamento;Apartamento en venta en Hayuelos;3;2;61;Hayuelos;Modelia;Modelia;$ 300.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 278.000.000
Apartamento;Apartamento en venta en Engativa;3;2;60;Engativa;Engativa;Engativa;$ 258.000.000
Apartamento;Apartamento en venta en Fontibon;3;3;87;Fontibon;Fontibon;Fontibon;$ 520.000.000
Apartamento;Apartamento en venta en Villa Alsacia;3;2;75;Villa Alsacia;KENNEDY: Castilla + Bavaria;KENNEDY;$ 350.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;32;2;63;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 290.500.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;45;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 129.000.000
Casa;Casa en venta en Tintala;3;2;75;Tintala;Tintala;Tintala;$ 200.000.000
Apartamento;Apartamento en venta en Palermo;3;2;130;Palermo;Galerias;Galerias;$ 750.000.000
Apartamento;Apartamento en venta en El Batan;3;3;103;El Batan;La Alhambra;La Alhambra;$ 418.000.000
Apartamento;Apartamento en venta en Chico Reservado;1;1;64;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 495.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;80;USAQUEN;USAQUEN;USAQUEN;$ 349.000.000
Apartamento;Apartamento en venta en Castilla;3;2;68;Castilla;KENNEDY: Castilla + Bavaria;KENNEDY;$ 310.000.000
Apartamento;Apartamento en venta en Santa Barbara;3;1;101;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 565.000.000
Apartamento;Apartamento en venta en Mirandela ;3;3;87;Mirandela ;SUBA: La Academia + Guaymaral + San José de Bavaria;SUBA;$ 370.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 259.000.000
Apartamento;Apartamento en venta en Cedritos;2;2;79;Cedritos;USAQUEN;USAQUEN;$ 354.000.000
Casa;Casa en venta en Zona Noroccidental;3;2;86;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 285.000.000
Apartamento;Apartamento en venta en Fontibon;3;2;84;Fontibon;Fontibon;Fontibon;$ 420.000.000
Apartamento;Apartamento en venta en Mazuren;3;3;92;Mazuren;El Prado;El Prado;$ 372.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;88;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 500.000.000
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;Kennedy Central;Kennedy Central;$ 185.000.000
Apartamento;Apartamento en venta en El Contador;3;3;177;El Contador;Los Cedros;Los Cedros;$ 1.050.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;80;USAQUEN;USAQUEN;USAQUEN;$ 349.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;4;4;294;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.800.000.000
Apartamento;Apartamento en venta en La Candelaria;4;4;160;La Candelaria;La Candelaria;La Candelaria;$ 900.000.000
Apartamento;Apartamento en venta en El Contador;3;3;206;El Contador;Los Cedros;Los Cedros;$ 990.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;60;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 225.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;1;44;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 148.000.000
Apartamento;Apartamento en venta en Engativa;2;2;53;Engativa;Engativa;Engativa;$ 331.500.000
